id,label,subcategory,franchise,fandom_wiki,requested_page,resolved_page,status,source_page,image_file,local_path,resolution_method,original_width,original_height,saved_width,saved_height,error,notes
character-animated-mickey-mouse,Mickey Mouse,animated-characters,Disney,disney,Mickey Mouse,Mickey Mouse,downloaded,https://disney.fandom.com/wiki/Mickey_Mouse,File:Disney Mickey Mouse.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-mickey-mouse.webp,portable-infobox,1200,1356,1062,1200,,
character-animated-minnie-mouse,Minnie Mouse,animated-characters,Disney,disney,Minnie Mouse,Minnie Mouse,downloaded,https://disney.fandom.com/wiki/Minnie_Mouse,File:Minnie Mouse.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-minnie-mouse.webp,portable-infobox,1200,1601,899,1200,,
character-animated-donald-duck,Donald Duck,animated-characters,Disney,disney,Donald Duck,Donald Duck,downloaded,https://disney.fandom.com/wiki/Donald_Duck,File:Donald Duck Disney 1.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-donald-duck.webp,portable-infobox,720,800,720,800,,
character-animated-daisy-duck,Daisy Duck,animated-characters,Disney,disney,Daisy Duck,Daisy Duck,downloaded,https://disney.fandom.com/wiki/Daisy_Duck,File:Classic Daisy Duck.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-daisy-duck.webp,portable-infobox,419,800,419,800,,
character-animated-goofy,Goofy,animated-characters,Disney,disney,Goofy,Goofy,downloaded,https://disney.fandom.com/wiki/Goofy,File:Goofy.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-goofy.webp,portable-infobox,1165,1714,816,1200,,
character-animated-pluto,Pluto,animated-characters,Disney,disney,Pluto,Pluto,downloaded,https://disney.fandom.com/wiki/Pluto,File:Pluto the pup.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-pluto.webp,portable-infobox,1200,1391,1035,1200,,
character-animated-scrooge-mcduck,Scrooge McDuck,animated-characters,Disney,disney,Scrooge McDuck,Scrooge McDuck,downloaded,https://disney.fandom.com/wiki/Scrooge_McDuck,File:Scrooge McDuck.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-scrooge-mcduck.webp,portable-infobox,633,800,633,800,,
character-animated-stitch,Stitch,animated-characters,Disney,disney,Stitch,Stitch,downloaded,https://disney.fandom.com/wiki/Stitch,File:Profile - Stitch.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-stitch.webp,portable-infobox,996,986,996,986,,
character-animated-lilo-pelekai,Lilo Pelekai,animated-characters,Disney,disney,Lilo Pelekai,Lilo Pelekai,downloaded,https://disney.fandom.com/wiki/Lilo_Pelekai,File:Profile - Lilo.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-lilo-pelekai.webp,portable-infobox,689,713,689,713,,
character-animated-elsa,Elsa,animated-characters,Disney,disney,Elsa,Elsa,downloaded,https://disney.fandom.com/wiki/Elsa,File:Profile - Elsa.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-elsa.webp,portable-infobox,1200,1324,1088,1200,,
character-animated-anna,Anna,animated-characters,Disney,disney,Anna,Anna,downloaded,https://disney.fandom.com/wiki/Anna,File:Profile - Anna.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-anna.webp,portable-infobox,672,768,672,768,,
character-animated-olaf,Olaf,animated-characters,Disney,disney,Olaf,Olaf,downloaded,https://disney.fandom.com/wiki/Olaf,File:Profile - Olaf.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-olaf.webp,portable-infobox,694,856,694,856,,
character-animated-moana,Moana,animated-characters,Disney,disney,Moana,Moana (franchise),downloaded,https://disney.fandom.com/wiki/Moana_(franchise),File:Moana logo.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-moana.webp,portable-infobox,800,310,800,310,,
character-animated-maui,Maui,animated-characters,Disney,disney,Maui,Maui,downloaded,https://disney.fandom.com/wiki/Maui,File:Profile - Maui.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-maui.webp,portable-infobox,1200,964,1200,964,,
character-animated-rapunzel,Rapunzel,animated-characters,Disney,disney,Rapunzel,Rapunzel,downloaded,https://disney.fandom.com/wiki/Rapunzel,File:Profile - Rapunzel.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-rapunzel.webp,portable-infobox,1152,1942,712,1200,,
character-animated-flynn-rider,Flynn Rider,animated-characters,Disney,disney,Flynn Rider,Flynn Rider,downloaded,https://disney.fandom.com/wiki/Flynn_Rider,File:Profile - Flynn Rider.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-flynn-rider.webp,portable-infobox,1200,1734,830,1200,,
character-animated-ariel,Ariel,animated-characters,Disney,disney,Ariel,Ariel,downloaded,https://disney.fandom.com/wiki/Ariel,File:Profile - Ariel.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-ariel.webp,portable-infobox,1200,1280,1125,1200,,
character-animated-sebastian,Sebastian,animated-characters,Disney,disney,Sebastian,Sebastian,downloaded,https://disney.fandom.com/wiki/Sebastian,File:Profile - Sebastian.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-sebastian.webp,portable-infobox,885,885,885,885,,
character-animated-simba,Simba,animated-characters,Disney,disney,Simba,Simba,downloaded,https://disney.fandom.com/wiki/Simba,File:Profile - Simba.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-simba.webp,portable-infobox,1089,988,1089,988,,
character-animated-timon,Timon,animated-characters,Disney,disney,Timon,Timon,downloaded,https://disney.fandom.com/wiki/Timon,File:Profile - Timon.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-timon.webp,portable-infobox,1200,1135,1200,1135,,
character-animated-pumbaa,Pumbaa,animated-characters,Disney,disney,Pumbaa,Pumbaa,downloaded,https://disney.fandom.com/wiki/Pumbaa,File:Profile - Pumbaa.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-pumbaa.webp,portable-infobox,1161,1080,1161,1080,,
character-animated-aladdin,Aladdin,animated-characters,Disney,disney,Aladdin,Aladdin (musical),downloaded,https://disney.fandom.com/wiki/Aladdin_(musical),File:Aladdin-Bposter.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-aladdin.webp,portable-infobox,1200,1553,927,1200,,
character-animated-princess-jasmine,Princess Jasmine,animated-characters,Disney,disney,Princess Jasmine,Jasmine (musical),downloaded,https://disney.fandom.com/wiki/Jasmine_(musical),File:Princess Jasmine on Aladdin the Broadway Musical 1.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-princess-jasmine.webp,portable-infobox,959,720,959,720,,
character-animated-genie,Genie,animated-characters,Disney,disney,Genie,Genie,downloaded,https://disney.fandom.com/wiki/Genie,File:Profile - Genie.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-genie.webp,portable-infobox,914,742,914,742,,
character-animated-belle,Belle,animated-characters,Disney,disney,Belle,Belle,downloaded,https://disney.fandom.com/wiki/Belle,File:Profile - Belle.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-belle.webp,portable-infobox,1200,1423,1012,1200,,
character-animated-the-beast,The Beast,animated-characters,Disney,disney,The Beast,Beast,downloaded,https://disney.fandom.com/wiki/Beast,File:Profile - Beast.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-the-beast.webp,portable-infobox,1200,1220,1180,1200,,
